Date, Sunrise, Sunset, Daylength
1, 5:34 am, 6:07 pm, 12:33:16
2, 5:33 am, 6:08 pm, 12:35:19
3, 6:31 am, 7:09 pm, 12:37:23
4, 6:30 am, 7:10 pm, 12:39:26
5, 6:29 am, 7:10 pm, 12:41:29
6, 6:28 am, 7:11 pm, 12:43:32
7, 6:26 am, 7:12 pm, 12:45:34
8, 6:25 am, 7:13 pm, 12:47:36
9, 6:24 am, 7:13 pm, 12:49:37
10, 6:22 am, 7:14 pm, 12:51:38
11, 6:21 am, 7:15 pm, 12:53:39
12, 6:20 am, 7:16 pm, 12:55:39
13, 6:19 am, 7:16 pm, 12:57:39
14, 6:17 am, 7:17 pm, 12:59:38
15, 6:16 am, 7:18 pm, 13:01:37
16, 6:15 am, 7:18 pm, 13:03:35
17, 6:14 am, 7:19 pm, 13:05:32
18, 6:12 am, 7:20 pm, 13:07:29
19, 6:11 am, 7:21 pm, 13:09:25
20, 6:10 am, 7:21 pm, 13:11:21
21, 6:09 am, 7:22 pm, 13:13:15
22, 6:08 am, 7:23 pm, 13:15:09
23, 6:07 am, 7:24 pm, 13:17:03
24, 6:06 am, 7:24 pm, 13:18:55
25, 6:04 am, 7:25 pm, 13:20:47
26, 6:03 am, 7:26 pm, 13:22:38
27, 6:02 am, 7:27 pm, 13:24:28
28, 6:01 am, 7:28 pm, 13:26:17
29, 6:00 am, 7:28 pm, 13:28:05
30, 5:59 am, 7:29 pm, 13:29:52
