Date, Sunrise, Sunset, Daylength
1, 5:40 am, 8:01 pm, 14:20:11
2, 5:41 am, 8:01 pm, 14:19:41
3, 5:41 am, 8:00 pm, 14:19:08
4, 5:42 am, 8:00 pm, 14:18:33
5, 5:42 am, 8:00 pm, 14:17:56
6, 5:43 am, 8:00 pm, 14:17:15
7, 5:43 am, 8:00 pm, 14:16:33
8, 5:44 am, 8:00 pm, 14:15:47
9, 5:44 am, 7:59 pm, 14:15:00
10, 5:45 am, 7:59 pm, 14:14:10
11, 5:45 am, 7:59 pm, 14:13:17
12, 5:46 am, 7:58 pm, 14:12:23
13, 5:47 am, 7:58 pm, 14:11:25
14, 5:47 am, 7:58 pm, 14:10:26
15, 5:48 am, 7:57 pm, 14:09:25
16, 5:48 am, 7:57 pm, 14:08:21
17, 5:49 am, 7:56 pm, 14:07:15
18, 5:50 am, 7:56 pm, 14:06:07
19, 5:50 am, 7:55 pm, 14:04:58
20, 5:51 am, 7:55 pm, 14:03:46
21, 5:52 am, 7:54 pm, 14:02:32
22, 5:52 am, 7:54 pm, 14:01:16
23, 5:53 am, 7:53 pm, 13:59:59
24, 5:54 am, 7:52 pm, 13:58:40
25, 5:54 am, 7:52 pm, 13:57:18
26, 5:55 am, 7:51 pm, 13:55:56
27, 5:56 am, 7:50 pm, 13:54:31
28, 5:56 am, 7:50 pm, 13:53:05
29, 5:57 am, 7:49 pm, 13:51:37
30, 5:58 am, 7:48 pm, 13:50:08
31, 5:59 am, 7:47 pm, 13:48:37
